method,short,seed,waypoint,x,y
AC+CBF+AER,AC+CBF+AER,2,7,1.519226099555544,0.77
AC+CBF+AER,AC+CBF+AER,2,8,2.02,0.78
AC+CBF+AER,AC+CBF+AER,2,9,2.16,1.0605608161171292
AC+CBF+AER,AC+CBF+AER,2,10,1.889999999999711,1.33
AC+CBF+AER,AC+CBF+AER,2,11,1.62,1.58
AC+CBF+AER,AC+CBF+AER,3,0,0.22,2.82
AC+CBF+AER,AC+CBF+AER,3,1,0.3624297976904396,2.46
AC+CBF+AER,AC+CBF+AER,3,2,0.5416085626359376,2.203563814871268
AC+CBF+AER,AC+CBF+AER,3,3,0.77,1.947082897886492
AC+CBF+AER,AC+CBF+AER,3,4,0.9056035875130904,1.66951848820138
AC+CBF+AER,AC+CBF+AER,3,5,1.0157668559269746,1.301428376191647
AC+CBF+AER,AC+CBF+AER,3,6,1.11,0.89
AC+CBF+AER,AC+CBF+AER,3,7,1.5348775894836952,0.77
AC+CBF+AER,AC+CBF+AER,3,8,2.02,0.78
AC+CBF+AER,AC+CBF+AER,3,9,2.16,1.0636628258408385
AC+CBF+AER,AC+CBF+AER,3,10,1.8899999999995631,1.33
AC+CBF+AER,AC+CBF+AER,3,11,1.62,1.58
AC+CBF+AER,AC+CBF+AER,4,0,0.22,2.82
AC+CBF+AER,AC+CBF+AER,4,1,0.358558988138139,2.46
AC+CBF+AER,AC+CBF+AER,4,2,0.5391909825776801,2.206882245401558
AC+CBF+AER,AC+CBF+AER,4,3,0.77,1.9548915249072447
AC+CBF+AER,AC+CBF+AER,4,4,0.9194808263911028,1.683621662660732
AC+CBF+AER,AC+CBF+AER,4,5,1.026143040215689,1.3076588066604258
AC+CBF+AER,AC+CBF+AER,4,6,1.11,0.89
AC+CBF+AER,AC+CBF+AER,4,7,1.5276235715443711,0.77
AC+CBF+AER,AC+CBF+AER,4,8,2.02,0.78
AC+CBF+AER,AC+CBF+AER,4,9,2.16,1.06467380933606
AC+CBF+AER,AC+CBF+AER,4,10,1.8899999999995627,1.33
AC+CBF+AER,AC+CBF+AER,4,11,1.62,1.58
Full,Full,0,0,0.22,2.82
Full,Full,0,1,0.3624220105434224,2.46
Full,Full,0,2,0.5405773276472983,2.208833416188953
Full,Full,0,3,0.77,1.9587232584320715
Full,Full,0,4,0.9398717836350212,1.6931748222393872
Full,Full,0,5,1.064069036511584,1.3264334816871597
Full,Full,0,6,1.11,0.89
Full,Full,0,7,1.5247823669004708,0.77
Full,Full,0,8,2.02,0.78
Full,Full,0,9,2.16,1.0561599694112072
Full,Full,0,10,1.890000000000044,1.33
Full,Full,0,11,1.62,1.58
Full,Full,1,0,0.22,2.82
Full,Full,1,1,0.3513963939606006,2.46
Full,Full,1,2,0.5336020125616927,2.208681149346266
Full,Full,1,3,0.77,1.9585143609561448
Full,Full,1,4,0.9382081269846428,1.690571841765384
Full,Full,1,5,1.0678879286028975,1.3258476335952356
Full,Full,1,6,1.11,0.89
Full,Full,1,7,1.5379456389236676,0.77
Full,Full,1,8,2.02,0.78
Full,Full,1,9,2.16,1.0601536172606607
Full,Full,1,10,1.889999999999988,1.33
Full,Full,1,11,1.62,1.58
Full,Full,2,0,0.22,2.82
Full,Full,2,1,0.3706505311191548,2.46
Full,Full,2,2,0.5474985633822117,2.211263744452318
Full,Full,2,3,0.77,1.9627248470358056
Full,Full,2,4,0.9420722760486384,1.6965861962010378
Full,Full,2,5,1.0658550634373474,1.33485557744886
Full,Full,2,6,1.11,0.89
Full,Full,2,7,1.52729768712945,0.77
Full,Full,2,8,2.02,0.78
Full,Full,2,9,2.16,1.0618457311418683
Full,Full,2,10,1.8899999999997097,1.33
Full,Full,2,11,1.62,1.58
Full,Full,3,0,0.22,2.82
Full,Full,3,1,0.3711352810400899,2.46
Full,Full,3,2,0.5454086749787678,2.210951346148242
Full,Full,3,3,0.77,1.9642867432025255
Full,Full,3,4,0.9357533603185452,1.70146814580182
Full,Full,3,5,1.0564925992159535,1.3265375321264952
Full,Full,3,6,1.11,0.89
Full,Full,3,7,1.5258732177629726,0.77
Full,Full,3,8,2.02,0.78
Full,Full,3,9,2.16,1.0598444776090814
Full,Full,3,10,1.8899999999995631,1.33
Full,Full,3,11,1.62,1.58
Full,Full,4,0,0.22,2.82
Full,Full,4,1,0.3594871154186849,2.46
Full,Full,4,2,0.5383907512665131,2.206882060910689
Full,Full,4,3,0.77,1.9541106744867875
Full,Full,4,4,0.9474628333997352,1.687437200066436
Full,Full,4,5,1.061461399924689,1.3201589210272182
Full,Full,4,6,1.11,0.89
Full,Full,4,7,1.5275046983453506,0.77
Full,Full,4,8,2.02,0.78
Full,Full,4,9,2.16,1.0605687952351248
Full,Full,4,10,1.8899999999995565,1.33
Full,Full,4,11,1.62,1.58
